712
0 0.0 0.43 2 1 62
1 0.0 0.455 0
2 0.0 0.535 1 3
3 0.005 0.57 1 4
4 0.01 0.6 1 5
5 0.015 0.625 1 6
6 0.02 0.64 1 7
7 0.025 0.655 1 8
8 0.03 0.67 1 9
9 0.035 0.685 1 10
10 0.04 0.695 1 11
11 0.045 0.71 1 12
12 0.05 0.72 1 13
13 0.055 0.725 1 14
14 0.06 0.735 1 15
15 0.065 0.745 1 16
16 0.07 0.755 1 17
17 0.075 0.76 1 18
18 0.08 0.77 1 19
19 0.085 0.775 1 20
20 0.09 0.785 1 21
21 0.095 0.79 1 22
22 0.1 0.8 1 23
23 0.105 0.805 1 24
24 0.11 0.81 1 25
25 0.115 0.815 1 26
26 0.12 0.825 1 27
27 0.125 0.83 1 28
28 0.13 0.835 1 29
29 0.135 0.84 1 30
30 0.14 0.845 1 31
31 0.145 0.85 1 32
32 0.15 0.855 1 33
33 0.155 0.86 1 34
34 0.16 0.865 1 35
35 0.165 0.87 1 36
36 0.17 0.875 1 37
37 0.175 0.88 1 38
38 0.185 0.885 1 39
39 0.19 0.89 1 40
40 0.195 0.895 1 41
41 0.205 0.9 1 42
42 0.21 0.905 1 43
43 0.22 0.91 1 44
44 0.225 0.915 1 45
45 0.23 0.92 1 46
46 0.24 0.925 1 47
47 0.25 0.93 1 48
48 0.26 0.935 1 49
49 0.27 0.94 1 50
50 0.275 0.945 1 51
51 0.28 0.95 1 52
52 0.29 0.955 1 53
53 0.305 0.96 1 54
54 0.315 0.965 1 55
55 0.33 0.97 1 56
56 0.34 0.975 1 57
57 0.36 0.98 1 58
58 0.375 0.985 1 59
59 0.4 0.99 1 60
60 0.425 0.995 1 61
61 0.45 0.995 0
62 0.005 0.4 1 63
63 0.01 0.38 1 64
64 0.015 0.36 1 65
65 0.02 0.345 1 66
66 0.025 0.33 1 67
67 0.03 0.315 1 68
68 0.035 0.305 1 69
69 0.04 0.29 1 70
70 0.045 0.28 1 71
71 0.05 0.27 1 72
72 0.055 0.26 1 73
73 0.06 0.25 1 74
74 0.065 0.24 1 75
75 0.07 0.235 1 76
76 0.075 0.225 1 77
77 0.08 0.22 1 78
78 0.085 0.21 1 79
79 0.09 0.205 1 80
80 0.095 0.2 1 81
81 0.1 0.19 1 82
82 0.105 0.185 1 83
83 0.11 0.18 1 84
84 0.115 0.175 1 85
85 0.12 0.165 1 86
86 0.125 0.16 1 87
87 0.13 0.155 1 88
88 0.135 0.15 1 89
89 0.14 0.145 1 90
90 0.145 0.14 1 91
91 0.15 0.135 1 92
92 0.155 0.13 1 93
93 0.16 0.125 1 94
94 0.165 0.12 1 95
95 0.175 0.115 1 96
96 0.18 0.11 1 97
97 0.185 0.105 1 98
98 0.19 0.1 1 99
99 0.2 0.095 1 100
100 0.205 0.09 1 101
101 0.21 0.085 1 102
102 0.22 0.08 1 103
103 0.225 0.075 1 104
104 0.235 0.07 1 105
105 0.245 0.065 1 106
106 0.25 0.06 1 107
107 0.26 0.055 1 108
108 0.27 0.055 1 109
109 0.28 0.045 0
110 0.025 0.445 2 111 156
111 0.03 0.41 1 112
112 0.035 0.39 1 113
113 0.04 0.37 1 114
114 0.045 0.355 1 115
115 0.05 0.34 1 116
116 0.055 0.325 1 117
117 0.06 0.315 1 118
118 0.065 0.3 1 119
119 0.07 0.29 1 120
120 0.075 0.28 1 121
121 0.08 0.27 1 122
122 0.085 0.26 1 123
123 0.09 0.25 1 124
124 0.095 0.245 1 125
125 0.1 0.235 1 126
126 0.105 0.23 1 127
127 0.11 0.22 1 128
128 0.115 0.215 1 129
129 0.12 0.21 1 130
130 0.125 0.2 1 131
131 0.13 0.195 1 132
132 0.135 0.19 1 133
133 0.14 0.185 1 134
134 0.145 0.18 1 135
135 0.15 0.175 1 136
136 0.155 0.17 1 137
137 0.16 0.165 1 138
138 0.165 0.16 1 139
139 0.17 0.155 1 140
140 0.175 0.15 1 141
141 0.18 0.145 1 142
142 0.185 0.14 1 143
143 0.19 0.135 1 144
144 0.195 0.13 1 145
145 0.2 0.125 1 146
146 0.21 0.12 1 147
147 0.215 0.115 1 148
148 0.22 0.11 1 149
149 0.23 0.105 1 150
150 0.235 0.1 1 151
151 0.245 0.095 1 152
152 0.255 0.09 1 153
153 0.26 0.085 1 154
154 0.27 0.08 1 155
155 0.28 0.075 0
156 0.03 0.555 1 157
157 0.035 0.59 1 158
158 0.04 0.615 1 159
159 0.045 0.63 1 160
160 0.05 0.645 1 161
161 0.055 0.66 1 162
162 0.06 0.675 1 163
163 0.065 0.69 1 164
164 0.07 0.7 1 165
165 0.075 0.71 1 166
166 0.08 0.72 1 167
167 0.085 0.725 1 168
168 0.09 0.735 1 169
169 0.095 0.745 1 170
170 0.1 0.75 1 171
171 0.105 0.76 1 172
172 0.11 0.765 1 173
173 0.115 0.775 1 174
174 0.12 0.78 1 175
175 0.125 0.785 1 176
176 0.13 0.795 1 177
177 0.135 0.8 1 178
178 0.14 0.805 1 179
179 0.145 0.81 1 180
180 0.15 0.815 1 181
181 0.155 0.82 1 182
182 0.16 0.825 1 183
183 0.165 0.835 1 184
184 0.175 0.84 1 185
185 0.18 0.845 1 186
186 0.185 0.85 1 187
187 0.19 0.855 1 188
188 0.195 0.86 1 189
189 0.2 0.865 1 190
190 0.21 0.87 1 191
191 0.215 0.875 1 192
192 0.22 0.88 1 193
193 0.23 0.885 1 194
194 0.235 0.89 1 195
195 0.24 0.895 1 196
196 0.25 0.9 1 197
197 0.26 0.91 1 198
198 0.275 0.915 1 199
199 0.28 0.92 1 200
200 0.29 0.925 1 201
201 0.3 0.93 1 202
202 0.31 0.935 1 203
203 0.325 0.94 1 204
204 0.34 0.945 1 205
205 0.35 0.95 1 206
206 0.365 0.955 1 207
207 0.385 0.96 1 208
208 0.41 0.965 1 209
209 0.445 0.97 1 210
210 0.555 0.965 1 211
211 0.59 0.96 1 212
212 0.615 0.955 1 213
213 0.635 0.95 1 214
214 0.65 0.945 1 215
215 0.665 0.94 1 216
216 0.675 0.935 1 217
217 0.69 0.93 1 218
218 0.7 0.925 1 219
219 0.71 0.92 0
220 0.185 0.37 2 221 249
221 0.19 0.36 1 222
222 0.195 0.355 1 223
223 0.2 0.35 1 224
224 0.205 0.345 1 225
225 0.21 0.34 1 226
226 0.22 0.335 0
227 0.185 0.6 2 228 268
228 0.19 0.59 1 229
229 0.195 0.585 1 230
230 0.2 0.58 1 231
231 0.205 0.575 1 232
232 0.21 0.57 1 233
233 0.22 0.565 1 234
234 0.23 0.56 1 235
235 0.245 0.555 1 236
236 0.26 0.55 1 237
237 0.285 0.545 1 238
238 0.3 0.55 1 239
239 0.32 0.545 1 240
240 0.335 0.55 1 241
241 0.36 0.555 1 242
242 0.38 0.56 1 243
243 0.39 0.565 1 244
244 0.405 0.57 1 245
245 0.415 0.575 1 246
246 0.42 0.58 1 247
247 0.425 0.585 1 248
248 0.43 0.595 0
249 0.19 0.395 1 250
250 0.195 0.405 1 251
251 0.2 0.41 1 252
252 0.205 0.415 1 253
253 0.215 0.42 1 254
254 0.22 0.425 1 255
255 0.225 0.43 1 256
256 0.235 0.435 1 257
257 0.25 0.44 1 258
258 0.275 0.445 1 259
259 0.35 0.44 1 260
260 0.37 0.435 1 261
261 0.385 0.43 1 262
262 0.395 0.425 1 263
263 0.405 0.42 1 264
264 0.41 0.415 1 265
265 0.415 0.41 1 266
266 0.42 0.405 1 267
267 0.425 0.4 1 299
268 0.19 0.625 1 269
269 0.195 0.635 1 270
270 0.2 0.64 1 271
271 0.21 0.645 1 272
272 0.215 0.65 1 273
273 0.22 0.655 1 274
274 0.225 0.66 1 275
275 0.24 0.665 1 276
276 0.255 0.67 1 277
277 0.285 0.675 1 278
278 0.335 0.67 1 279
279 0.365 0.665 1 280
280 0.385 0.66 1 281
281 0.395 0.655 1 282
282 0.4 0.65 1 283
283 0.41 0.645 1 284
284 0.415 0.64 1 285
285 0.42 0.635 1 286
286 0.425 0.63 1 248
287 0.23 0.33 1 288
288 0.245 0.325 1 289
289 0.265 0.32 1 290
290 0.295 0.315 1 291
291 0.325 0.32 1 292
292 0.355 0.325 1 293
293 0.375 0.33 1 294
294 0.39 0.335 1 295
295 0.4 0.34 1 296
296 0.41 0.345 1 297
297 0.42 0.355 1 298
298 0.425 0.36 1 299
299 0.43 0.365 0
300 0.29 0.04 1 301
301 0.305 0.035 1 302
302 0.315 0.03 1 303
303 0.33 0.025 1 304
304 0.345 0.02 1 305
305 0.36 0.015 1 306
306 0.38 0.01 1 307
307 0.4 0.005 1 308
308 0.43 0.0 1 309
309 0.465 0.0 0
310 0.29 0.07 1 311
311 0.3 0.065 1 312
312 0.315 0.06 1 313
313 0.325 0.055 1 314
314 0.34 0.05 1 315
315 0.355 0.045 1 316
316 0.37 0.04 1 317
317 0.385 0.035 1 318
318 0.415 0.03 1 319
319 0.45 0.025 1 320
320 0.555 0.03 1 321
321 0.585 0.035 1 322
322 0.61 0.04 1 323
323 0.63 0.045 1 324
324 0.645 0.05 1 325
325 0.66 0.055 1 326
326 0.675 0.06 1 327
327 0.685 0.065 1 328
328 0.7 0.07 1 329
329 0.705 0.07 0
330 0.46 0.18 2 331 355
331 0.465 0.175 1 332
332 0.47 0.17 1 333
333 0.5 0.175 1 334
334 0.505 0.185 1 335
335 0.51 0.19 1 336
336 0.575 0.195 1 337
337 0.61 0.2 1 338
338 0.63 0.205 1 339
339 0.645 0.21 1 340
340 0.66 0.215 1 341
341 0.675 0.22 1 342
342 0.685 0.225 1 343
343 0.69 0.225 0
344 0.46 0.79 2 345 367
345 0.465 0.775 1 346
346 0.47 0.77 1 347
347 0.475 0.76 1 348
348 0.48 0.75 1 349
349 0.485 0.74 1 350
350 0.49 0.725 1 351
351 0.495 0.72 1 352
352 0.5 0.715 1 353
