716
878 0.0 0.43 2 879 940
879 0.0 0.455 0
880 0.0 0.535 1 881
881 0.005 0.57 1 882
882 0.01 0.6 1 883
883 0.015 0.625 1 884
884 0.02 0.64 1 885
885 0.025 0.655 1 886
886 0.03 0.67 1 887
887 0.035 0.685 1 888
888 0.04 0.695 1 889
889 0.045 0.71 1 890
890 0.05 0.72 1 891
891 0.055 0.725 1 892
892 0.06 0.735 1 893
893 0.065 0.745 1 894
894 0.07 0.755 1 895
895 0.075 0.76 1 896
896 0.08 0.77 1 897
897 0.085 0.775 1 898
898 0.09 0.785 1 899
899 0.095 0.79 1 900
900 0.1 0.8 1 901
901 0.105 0.805 1 902
902 0.11 0.81 1 903
903 0.115 0.815 1 904
904 0.12 0.825 1 905
905 0.125 0.83 1 906
906 0.13 0.835 1 907
907 0.135 0.84 1 908
908 0.14 0.845 1 909
909 0.145 0.85 1 910
910 0.15 0.855 1 911
911 0.155 0.86 1 912
912 0.16 0.865 1 913
913 0.165 0.87 1 914
914 0.17 0.875 1 915
915 0.175 0.88 1 916
916 0.185 0.885 1 917
917 0.19 0.89 1 918
918 0.195 0.895 1 919
919 0.205 0.9 1 920
920 0.21 0.905 1 921
921 0.22 0.91 1 922
922 0.225 0.915 1 923
923 0.23 0.92 1 924
924 0.24 0.925 1 925
925 0.25 0.93 1 926
926 0.26 0.935 1 927
927 0.27 0.94 1 928
928 0.275 0.945 1 929
929 0.28 0.95 1 930
930 0.29 0.955 1 931
931 0.305 0.96 1 932
932 0.315 0.965 1 933
933 0.33 0.97 1 934
934 0.34 0.975 1 935
935 0.36 0.98 1 936
936 0.375 0.985 1 937
937 0.4 0.99 1 938
938 0.425 0.995 1 939
939 0.455 0.995 0
940 0.005 0.4 1 941
941 0.01 0.38 1 942
942 0.015 0.36 1 943
943 0.02 0.345 1 944
944 0.025 0.33 1 945
945 0.03 0.315 1 946
946 0.035 0.305 1 947
947 0.04 0.29 1 948
948 0.045 0.28 1 949
949 0.05 0.27 1 950
950 0.055 0.26 1 951
951 0.06 0.25 1 952
952 0.065 0.24 1 953
953 0.07 0.235 1 954
954 0.075 0.225 1 955
955 0.08 0.22 1 956
956 0.085 0.21 1 957
957 0.09 0.205 1 958
958 0.095 0.2 1 959
959 0.1 0.19 1 960
960 0.105 0.185 1 961
961 0.11 0.18 1 962
962 0.115 0.175 1 963
963 0.12 0.165 1 964
964 0.125 0.16 1 965
965 0.13 0.155 1 966
966 0.135 0.15 1 967
967 0.14 0.145 1 968
968 0.145 0.14 1 969
969 0.15 0.135 1 970
970 0.155 0.13 1 971
971 0.16 0.125 1 972
972 0.165 0.12 1 973
973 0.175 0.115 1 974
974 0.18 0.11 1 975
975 0.185 0.105 1 976
976 0.19 0.1 1 977
977 0.2 0.095 1 978
978 0.205 0.09 1 979
979 0.21 0.085 1 980
980 0.22 0.08 1 981
981 0.225 0.075 1 982
982 0.235 0.075 0
983 0.025 0.445 2 984 1030
984 0.03 0.41 1 985
985 0.035 0.39 1 986
986 0.04 0.37 1 987
987 0.045 0.355 1 988
988 0.05 0.335 1 989
989 0.055 0.325 1 990
990 0.06 0.315 1 991
991 0.065 0.3 1 992
992 0.07 0.29 1 993
993 0.075 0.28 1 994
994 0.08 0.27 1 995
995 0.085 0.26 1 996
996 0.09 0.25 1 997
997 0.095 0.245 1 998
998 0.1 0.235 1 999
999 0.105 0.23 1 1000
1000 0.11 0.22 1 1001
1001 0.115 0.215 1 1002
1002 0.12 0.21 1 1003
1003 0.125 0.2 1 1004
1004 0.13 0.195 1 1005
1005 0.135 0.19 1 1006
1006 0.14 0.185 1 1007
1007 0.145 0.18 1 1008
1008 0.15 0.175 1 1009
1009 0.155 0.17 1 1010
1010 0.16 0.165 1 1011
1011 0.165 0.16 1 1012
1012 0.17 0.155 1 1013
1013 0.175 0.15 1 1014
1014 0.18 0.145 1 1015
1015 0.185 0.14 1 1016
1016 0.19 0.135 1 1017
1017 0.195 0.13 1 1018
1018 0.2 0.125 1 1019
1019 0.21 0.12 1 1020
1020 0.215 0.115 1 1021
1021 0.22 0.11 1 1022
1022 0.23 0.105 1 1023
1023 0.235 0.1 1 1024
1024 0.245 0.095 1 1025
1025 0.25 0.09 1 1026
1026 0.26 0.09 1 1027
1027 0.27 0.085 1 1028
1028 0.28 0.08 1 1029
1029 0.29 0.075 0
1030 0.03 0.555 1 1031
1031 0.035 0.59 1 1032
1032 0.04 0.615 1 1033
1033 0.045 0.63 1 1034
1034 0.05 0.645 1 1035
1035 0.055 0.66 1 1036
1036 0.06 0.675 1 1037
1037 0.065 0.69 1 1038
1038 0.07 0.7 1 1039
1039 0.075 0.71 1 1040
1040 0.08 0.72 1 1041
1041 0.085 0.725 1 1042
1042 0.09 0.735 1 1043
1043 0.095 0.745 1 1044
1044 0.1 0.75 1 1045
1045 0.105 0.76 1 1046
1046 0.11 0.765 1 1047
1047 0.115 0.775 1 1048
1048 0.12 0.78 1 1049
1049 0.125 0.785 1 1050
1050 0.13 0.795 1 1051
1051 0.135 0.8 1 1052
1052 0.14 0.805 1 1053
1053 0.145 0.81 1 1054
1054 0.15 0.815 1 1055
1055 0.155 0.82 1 1056
1056 0.16 0.83 1 1057
1057 0.165 0.835 1 1058
1058 0.175 0.84 1 1059
1059 0.18 0.845 1 1060
1060 0.185 0.85 1 1061
1061 0.19 0.855 1 1062
1062 0.195 0.86 1 1063
1063 0.2 0.865 1 1064
1064 0.21 0.87 1 1065
1065 0.215 0.875 1 1066
1066 0.22 0.88 1 1067
1067 0.23 0.885 1 1068
1068 0.235 0.89 1 1069
1069 0.24 0.895 1 1070
1070 0.25 0.9 1 1071
1071 0.26 0.91 1 1072
1072 0.275 0.915 1 1073
1073 0.28 0.92 1 1074
1074 0.295 0.925 1 1075
1075 0.3 0.93 1 1076
1076 0.31 0.935 1 1077
1077 0.325 0.94 1 1078
1078 0.335 0.945 1 1079
1079 0.35 0.95 1 1080
1080 0.365 0.955 1 1081
1081 0.385 0.96 1 1082
1082 0.405 0.965 1 1083
1083 0.44 0.97 1 1084
1084 0.56 0.965 1 1085
1085 0.595 0.96 1 1086
1086 0.615 0.955 1 1087
1087 0.635 0.95 1 1088
1088 0.65 0.945 1 1089
1089 0.665 0.94 1 1090
1090 0.675 0.935 1 1091
1091 0.69 0.93 1 1092
1092 0.7 0.925 1 1093
1093 0.71 0.92 1 1094
1094 0.72 0.915 1 1095
1095 0.725 0.91 1 1096
1096 0.735 0.905 1 1097
1097 0.745 0.9 1 1098
1098 0.75 0.895 1 1099
1099 0.76 0.89 1 1100
1100 0.765 0.885 1 1101
1101 0.775 0.88 1 1102
1102 0.78 0.875 1 1103
1103 0.785 0.87 1 1104
1104 0.795 0.865 1 1105
1105 0.8 0.86 1 1106
1106 0.805 0.855 1 1107
1107 0.81 0.85 1 1108
1108 0.815 0.845 1 1109
1109 0.825 0.84 1 1110
1110 0.83 0.835 1 1111
1111 0.835 0.83 1 1112
1112 0.84 0.825 1 1113
1113 0.845 0.815 1 1114
1114 0.85 0.81 1 1115
1115 0.855 0.805 1 1116
1116 0.86 0.8 1 1117
1117 0.865 0.795 1 1118
1118 0.87 0.785 1 1119
1119 0.875 0.78 1 1120
1120 0.88 0.775 1 1121
1121 0.885 0.765 1 1122
1122 0.89 0.76 1 1123
1123 0.895 0.75 1 1124
1124 0.9 0.745 1 1125
1125 0.905 0.735 1 1126
1126 0.91 0.725 1 1127
1127 0.915 0.72 1 1128
1128 0.92 0.71 1 1129
1129 0.925 0.7 1 1130
1130 0.93 0.69 1 1131
1131 0.935 0.675 1 1132
1132 0.94 0.665 1 1133
1133 0.945 0.65 1 1134
1134 0.95 0.635 1 1135
1135 0.955 0.615 1 1136
